,id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,currency,custom_label_1
2,126793278,three-piece patio set,A three-piece patio set that's great for creating the *perfect* outdoor space for a socially distanced spring!,in stock,new,137.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793278,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/1/asset/5605245003b3/sub-buzz-4652-1617242294-32.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
4,126793345,velvet wingback armchair,"A velvet wingback armchair so sophisticated, it'll make even *doomscrolling* feel like an elegant activity.",in stock,new,299.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793345,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/1/asset/6f785ac13063/sub-buzz-4757-1617242171-1.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,cleaning
9,126793588,full-length floor mirror,"A full-length floor mirror to help you test run all the ~looks~ you'll be wearing out once you're fully vaccinated. Bonus points for the fact that this mirror can make any space look larger, in case you're getting cramped after a year+ of lockdown!",in stock,new,156.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793588,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/22/asset/2a2bd208a383/sub-buzz-237-1617314788-36.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
10,126793629,French country style loveseat,"A French country style loveseat that's simply swoon-worthy (and frankly, looks swoon-ready as well).",in stock,new,599.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793629,"https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/3/asset/ffdaf60237c5/sub-buzz-4860-1617246721-8.jpg?crop=680:612;0,68&resize=625:*",wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
18,126793927,extra long cheeseboard,An extra long cheeseboard for all your family's (or just your own) charcuterie needs. It doubles as dazzling decor for your table.,in stock,new,136.02 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793927,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/22/asset/17d867cd86ca/sub-buzz-312-1617316723-1.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,cleaning
19,126793939,wall-mounted electric fireplace,"A wall-mounted electric fireplace that can heat your space and give off the cozy, romantic energy of a classic fireplace with no construction work or firewood needed!",in stock,new,279.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793939,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/22/asset/613d46834877/sub-buzz-300-1617317427-2.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
24,126797761,two-tiered serving tray,"A two-tiered serving tray that can turn any old coffee and snack break into a tasteful tea party. As the Mad Hatter says, it's always tea time!",in stock,new,89.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126797761,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/18/asset/a3674f59d8a5/sub-buzz-787-1617303006-1.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
28,126798004,100% wool pillow,"A 100% wool pillow so fluffy it'll be like having a little lamb to cuddle up to every night, without any of the cleanup or cost of an actual pet lamb.",in stock,new,59.81 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126798004,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/19/asset/1f90543ebcd8/sub-buzz-853-1617304978-15.jpg?resize=625:*,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
30,126798067,round arm settee bench,"A round arm settee bench that brings some serious ~Bridgerton vibes~ to whatever space it inhabits. Seriously, I *burn* for this piece of furniture! Alexa, play Duomo's violin cover of Wildest Dreams by Taylor Swift.",in stock,new,609.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126798067,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/19/asset/84b77a9f68f9/sub-buzz-872-1617305531-3.jpg?resize=625:*,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
,id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,currency,custom_label_1
